Year,Player,Team,Number
2013-14,Brian Roberts,NOP,22
2013-14,Mustafa Shakur,OKC,22
2013-14,Tiago Splitter,SAS,22
2013-14,Isaiah Thomas,SAC,22
2013-14,Malcolm Thomas,UTA,22
2013-14,Allen Crabbe,POR,23
2013-14,Anthony Davis,NOP,23
2013-14,Austin Daye,SAS,23
2013-14,Draymond Green,GSW,23
2013-14,Kevin Martin,MIN,23
2013-14,Toure' Murry,NYK,23
2013-14,Marcus Thornton,SAC,23
2013-14,Kobe Bryant,LAL,24
2013-14,Shane Edwards,CLE,24
2013-14,Paul George,IND,24
2013-14,Scotty Hopson,CLE,24
2013-14,Richard Jefferson,UTA,24
2013-14,Carl Landry,SAC,24
2013-14,Andre Miller,DEN,24
2013-14,Malcolm Thomas,SAS,24
2013-14,Jan Vesely,DEN,24
2013-14,Steve Blake,GSW,25
2013-14,Reggie Bullock,LAC,25
2013-14,Vince Carter,DAL,25
2013-14,Dionte Christmas,PHO,25
2013-14,Nando De Colo,SAS,25
2013-14,Al Jefferson,CHA,25
2013-14,Timofey Mozgov,DEN,25
2013-14,Travis Outlaw,SAC,25
2013-14,Chandler Parsons,HOU,25
2013-14,Austin Rivers,NOP,25
2013-14,Brandon Rush,UTA,25
2013-14,John Salmons,TOR,25
2013-14,Thabo Sefolosha,OKC,25
2013-14,Kyle Singler,DET,25
2013-14,Marquis Teague,CHI,25
2013-14,Elliot Williams,PHI,25
2013-14,Mo Williams,POR,25
2013-14,Shannon Brown,NYK,26
2013-14,Kyle Korver,ATL,26
2013-14,Phil Pressey,BOS,26
2013-14,Jordan Crawford,BOS,27
2013-14,Rudy Gobert,UTA,27
2013-14,Jordan Hill,LAL,27
2013-14,Zaza Pachulia,MIL,27
2013-14,Ian Mahinmi,IND,28
2013-14,Brandon Bass,BOS,30
2013-14,Norris Cole,MIA,30
2013-14,Stephen Curry,GSW,30
2013-14,Troy Daniels,HOU,30
2013-14,Dewayne Dedmon,PHI,30
2013-14,Reggie Evans,BRK,30
2013-14,Carrick Felix,CLE,30
2013-14,Jon Leuer,MEM,30
2013-14,Quincy Miller,DEN,30
2013-14,Byron Mullens,PHI,30
2013-14,Shane Battier,MIA,31
2013-14,Seth Curry,CLE,31
2013-14,John Henson,MIL,31
2013-14,Erik Murphy,CHI,31
2013-14,Mike Muscala,ATL,31
2013-14,Terrence Ross,TOR,31
2013-14,Chris Singleton,WAS,31
2013-14,James Southerland,CHA,31
2013-14,Jason Terry,BRK,31
2013-14,Hollis Thompson,PHI,31
2013-14,Charlie Villanueva,DET,31
2013-14,Ed Davis,MEM,32
2013-14,Jimmer Fredette,CHI,32
2013-14,Francisco Garcia,HOU,32
2013-14,Blake Griffin,LAC,32
2013-14,Spencer Hawes,CLE,32
2013-14,Mike Scott,ATL,32
2013-14,Ronny Turiaf,MIN,32
2013-14,Jarvis Varnado,CHI,32
2013-14,C.J. Watson,IND,32
2013-14,Ryan Anderson,NOP,33
2013-14,Robert Covington,HOU,33
2013-14,Dante Cunningham,MIN,33
2013-14,Boris Diaw,SAS,33
2013-14,Marc Gasol,MEM,33
2013-14,Alonzo Gee,CLE,33
2013-14,Danny Granger,IND,33
2013-14,Aaron Gray,SAC,33
2013-14,Mike Harris,UTA,33
2013-14,Antawn Jamison,LAC,33
2013-14,Jonas Jerebko,DET,33
2013-14,Luc Mbah a Moute,SAC,33
2013-14,Gal Mekel,DAL,33
2013-14,Daniel Orton,PHI,33
2013-14,Mirza Teletovic,BRK,33
2013-14,Ray Allen,MIA,34
2013-14,Giannis Antetokounmpo,MIL,34
2013-14,Mike Dunleavy,CHI,34
2013-14,Aaron Gray,TOR,34
2013-14,Willie Green,LAC,34
2013-14,JaVale McGee,DEN,34
2013-14,Paul Pierce,BRK,34
2013-14,Peyton Siva,DET,34
2013-14,Greg Stiemsma,NOP,34
2013-14,Hasheem Thabeet,OKC,34
2013-14,Jason Thompson,SAC,34
2013-14,Brandan Wright,DAL,34
2013-14,Trevor Booker,WAS,35
2013-14,Kevin Durant,OKC,35
2013-14,Kenneth Faried,DEN,35
2013-14,Henry Sims,PHI,35
2013-14,Royce White,SAC,35
2013-14,Vitor Faverani,BOS,38
2013-14,Harrison Barnes,GSW,40
2013-14,Jeremy Evans,UTA,40
2013-14,Udonis Haslem,MIA,40
2013-14,Jarvis Varnado,PHI,40
2013-14,Cody Zeller,CHA,40
2013-14,Tyler Zeller,CLE,40
2013-14,Justin Hamilton,CHA,41
2013-14,Kosta Koufos,MEM,41
2013-14,Dirk Nowitzki,DAL,41
2013-14,Kelly Olynyk,BOS,41
2013-14,Thomas Robinson,POR,41
2013-14,Alexis Ajinca,NOP,42
2013-14,Elton Brand,ATL,42
2013-14,Chuck Hayes,SAC,42
2013-14,Nene Hilario,WAS,42
2013-14,Robin Lopez,POR,42
2013-14,Kevin Love,MIN,42
2013-14,Lance Thomas,NOP,42
2013-14,Kris Humphries,BOS,43
2013-14,Shavlik Randolph,PHO,43
2013-14,Anthony Tolliver,CHA,43
2013-14,Chuck Hayes,TOR,44
2013-14,Andrew Nicholson,ORL,44
2013-14,Jeffery Taylor,CHA,44
2013-14,Cole Aldrich,NYK,45
2013-14,DeJuan Blair,DAL,45
2013-14,Dexter Pittman,ATL,45
2013-14,Gerald Wallace,BOS,45
2013-14,Andrei Kirilenko,BRK,47
2013-14,Nazr Mohammed,CHI,48
2013-14,Lavoy Allen,PHI,50
2013-14,Joel Anthony,BOS,50
2013-14,Tyler Hansbrough,TOR,50
2013-14,Arinze Onuaku,CLE,50
2013-14,Zach Randolph,MEM,50
2013-14,Robert Sacre,LAL,50
2013-14,Metta World Peace,NYK,51
2013-14,Chris Babb,BOS,52
2013-14,Jason Maxiell,ORL,54
2013-14,Patrick Patterson,TOR,54
2013-14,Jordan Crawford,GSW,55
2013-14,Chris Douglas-Roberts,CHA,55
2013-14,Josh Harrellson,DET,55
2013-14,Roy Hibbert,IND,55
2013-14,Viacheslav Kravtsov,PHO,55
2013-14,E'Twaun Moore,ORL,55
2013-14,Hamady N'Diaye,SAC,55
2013-14,Hilton Armstrong,GSW,57
2013-14,Andrea Bargnani,NYK,77
2013-14,Julyan Stone,TOR,77
2013-14,Nicolas Batum,POR,88
2013-14,Drew Gooden,WAS,90
2013-14,Evan Fournier,DEN,94
2013-14,Jason Collins,BRK,98
2014-15,Darrell Arthur,DEN,00
2014-15,Aaron Gordon,ORL,00
2014-15,O.J. Mayo,MIL,00
2014-15,Avery Bradley,BOS,0
2014-15,Aaron Brooks,CHI,0
2014-15,Isaiah Canaan,HOU,0
2014-15,Dante Cunningham,NOP,0
2014-15,Brandon Davies,PHI,0
2014-15,Glen Davis,LAC,0
2014-15,Andre Drummond,DET,0
2014-15,JaMychal Green,MEM,0
2014-15,Jarrett Jack,BRK,0
2014-15,Enes Kanter,UTA,0
2014-15,Shane Larkin,NYK,0
2014-15,Damian Lillard,POR,0
2014-15,Kevin Love,CLE,0
2014-15,C.J. Miles,IND,0
2014-15,Jeff Teague,ATL,0
2014-15,Russell Westbrook,OKC,0
2014-15,Nick Young,LAL,0
2014-15,Kyle Anderson,SAS,1
2014-15,Trevor Ariza,HOU,1
2014-15,Chris Bosh,MIA,1
2014-15,Will Bynum,WAS,1
2014-15,Michael Carter-Williams,PHI,1
2014-15,Goran Dragic,PHO,1
2014-15,Tyreke Evans,NOP,1
2014-15,Jordan Farmar,LAC,1
2014-15,Alonzo Gee,DEN,1
2014-15,Jordan Hamilton,LAC,1
2014-15,Reggie Jackson,DET,1
2014-15,James Jones,CLE,1
2014-15,Sean Kilpatrick,MIN,1
2014-15,Ognjen Kuzmic,GSW,1
2014-15,Ricky Ledo,DAL,1
2014-15,JaVale McGee,PHI,1
2014-15,Toure' Murry,WAS,1
2014-15,Mason Plumlee,BRK,1
2014-15,A.J. Price,PHO,1
2014-15,Glenn Robinson,MIN,1
2014-15,Derrick Rose,CHI,1
2014-15,Alexey Shved,NYK,1
2014-15,Lance Stephenson,CHO,1
2014-15,Jarnell Stokes,MEM,1
2014-15,Amar'e Stoudemire,DAL,1
2014-15,Dorell Wright,POR,1
2014-15,Patrick Beverley,HOU,2
2014-15,Eric Bledsoe,PHO,2
2014-15,Wayne Ellington,LAL,2
2014-15,Raymond Felton,DAL,2
2014-15,Landry Fields,TOR,2
2014-15,Langston Galloway,NYK,2
2014-15,Kevin Garnett,BRK,2
2014-15,Joe Ingles,UTA,2
2014-15,Kyrie Irving,CLE,2
2014-15,Kawhi Leonard,SAS,2
2014-15,Wesley Matthews,POR,2
2014-15,Darius Miller,NOP,2
2014-15,Anthony Morrow,OKC,2
2014-15,Kyle O'Quinn,ORL,2
2014-15,Russ Smith,MEM,2
2014-15,Rodney Stuckey,IND,2
2014-15,John Wall,WAS,2
2014-15,Elliot Williams,NOP,2
2014-15,Marvin Williams,CHO,2
2014-15,Jordan Adams,MEM,3
2014-15,Omer Asik,NOP,3
2014-15,Bradley Beal,WAS,3
2014-15,Marco Belinelli,SAS,3
2014-15,Trey Burke,UTA,3
2014-15,Jose Calderon,NYK,3
2014-15,Austin Daye,ATL,3
2014-15,Dewayne Dedmon,ORL,3
2014-15,George Hill,IND,3
2014-15,James Johnson,TOR,3
2014-15,Nick Johnson,HOU,3
2014-15,Perry Jones,OKC,3
2014-15,Brandon Knight,PHO,3
2014-15,Ty Lawson,DEN,3
2014-15,Ray McCallum,SAC,3
2014-15,C.J. McCollum,POR,3
2014-15,Doug McDermott,CHI,3
2014-15,Johnny O'Bryant,MIL,3
2014-15,Chris Paul,LAC,3
2014-15,Adreian Payne,MIN,3
2014-15,Kendrick Perkins,CLE,3
2014-15,Isaiah Thomas,PHO,3
2014-15,Charlie Villanueva,DAL,3
2014-15,Dwyane Wade,MIA,3
2014-15,Dion Waiters,CLE,3
2014-15,Shawne Williams,DET,3
2014-15,Quincy Acy,NYK,4
2014-15,Arron Afflalo,POR,4
2014-15,Nick Collison,OKC,4
2014-15,Tyler Ennis,PHO,4
2014-15,Randy Foye,DEN,4
2014-15,Marcin Gortat,WAS,4
2014-15,Robbie Hummel,MIN,4
2014-15,Ryan Kelly,LAL,4
2014-15,Josh McRoberts,MIA,4
2014-15,Paul Millsap,ATL,4
2014-15,Nerlens Noel,PHI,4
2014-15,Elfrid Payton,ORL,4
2014-15,J.J. Redick,LAC,4
2014-15,Brandon Rush,GSW,4
2014-15,Luis Scola,IND,4
2014-15,Iman Shumpert,CLE,4
2014-15,Greg Smith,DAL,4
2014-15,Isaiah Thomas,BOS,4
2014-15,Marcus Thornton,BOS,4
2014-15,Nate Wolters,NOP,4
2014-15,Lavoy Allen,IND,5
2014-15,J.J. Barea,DAL,5
2014-15,Will Barton,DEN,5
2014-15,Steve Blake,POR,5
2014-15,Carlos Boozer,LAL,5
2014-15,Bruno Caboclo,TOR,5
2014-15,Kentavious Caldwell-Pope,DET,5
2014-15,DeMarre Carroll,ATL,5
2014-15,Michael Carter-Williams,MIL,5
2014-15,Will Cherry,CLE,5
2014-15,Gorgui Dieng,MIN,5
2014-15,Tim Hardaway,NYK,5
2014-15,Ryan Hollins,SAC,5
2014-15,Rodney Hood,UTA,5
2014-15,Cory Joseph,SAS,5
2014-15,Courtney Lee,MEM,5
2014-15,Kendall Marshall,MIL,5
2014-15,Victor Oladipo,ORL,5
2014-15,Jannero Pargo,CHO,5
2014-15,Kendrick Perkins,OKC,5
2014-15,Nate Robinson,DEN,5
2014-15,Kyle Singler,OKC,5
2014-15,Ish Smith,PHI,5
2014-15,Josh Smith,HOU,5
2014-15,J.R. Smith,CLE,5
2014-15,Marreese Speights,GSW,5
2014-15,Henry Walker,MIA,5
2014-15,Jeff Withey,NOP,5
2014-15,Alan Anderson,BRK,6
2014-15,Pero Antic,ATL,6
2014-15,Tyson Chandler,DAL,6
2014-15,Jordan Clarkson,LAL,6
2014-15,Terrence Jones,HOU,6
2014-15,DeAndre Jordan,LAC,6
2014-15,Kenyon Martin,MIL,6
2014-15,Steve Novak,OKC,6
2014-15,Josh Smith,DET,6
2014-15,Travis Wear,NYK,6
2014-15,Nate Wolters,MIL,6
2014-15,Al-Farouq Aminu,DAL,7
2014-15,Carmelo Anthony,NYK,7
2014-15,Elton Brand,ATL,7
2014-15,Lorenzo Brown,MIN,7
2014-15,Darren Collison,SAC,7
2014-15,Goran Dragic,MIA,7
2014-15,Larry Drew,PHI,7
2014-15,Ben Gordon,ORL,7
2014-15,Justin Hamilton,MIA,7
2014-15,Xavier Henry,LAL,7
2014-15,J.J. Hickson,DEN,7
2014-15,Justin Holiday,GSW,7
2014-15,Ersan Ilyasova,MIL,7
2014-15,Brandon Jennings,DET,7
2014-15,Grant Jerrett,OKC,7
2014-15,Joe Johnson,BRK,7
2014-15,Kyle Lowry,TOR,7
2014-15,Ramon Sessions,WAS,7
2014-15,Jared Sullinger,BOS,7
2014-15,Mo Williams,CHO,7
2014-15,Luke Babbitt,NOP,8
2014-15,Bismack Biyombo,CHO,8
2014-15,Rasual Butler,WAS,8
2014-15,Bryce Cotton,UTA,8
2014-15,Matthew Dellavedova,CLE,8
2014-15,Spencer Dinwiddie,DET,8
2014-15,Joey Dorsey,HOU,8
2014-15,Channing Frye,ORL,8
2014-15,Danilo Gallinari,DEN,8
2014-15,Rudy Gay,SAC,8
2014-15,Jeff Green,BOS,8
2014-15,Jonas Jerebko,BOS,8
2014-15,Tyler Johnson,MIA,8
2014-15,Zach LaVine,MIN,8
2014-15,Shelvin Mack,ATL,8
2014-15,Jerel McNeal,PHO,8
2014-15,Patty Mills,SAS,8
2014-15,Quincy Pondexter,MEM,8
2014-15,Dwight Powell,DAL,8
2014-15,Nate Robinson,LAC,8
2014-15,Larry Sanders,MIL,8
2014-15,Ish Smith,OKC,8
2014-15,J.R. Smith,NYK,8
2014-15,Deron Williams,BRK,8
2014-15,Tony Wroten,PHI,8
2014-15,Tony Allen,MEM,9
2014-15,Jae Crowder,DAL,9
2014-15,Jared Cunningham,LAC,9
2014-15,Luol Deng,MIA,9
2014-15,Jared Dudley,MIL,9
2014-15,Gerald Henderson,CHO,9
2014-15,Serge Ibaka,OKC,9
2014-15,Andre Iguodala,GSW,9
2014-15,Jerome Jordan,BRK,9
2014-15,John Lucas III,DET,9
2014-15,Tony Parker,SAS,9
2014-15,Ronnie Price,LAL,9
2014-15,Pablo Prigioni,HOU,9
2014-15,Rajon Rondo,BOS,9
2014-15,Ricky Rubio,MIN,9
2014-15,Damjan Rudez,IND,9
2014-15,JaKarr Sampson,PHI,9
2014-15,Ramon Sessions,SAC,9
2014-15,Russ Smith,NOP,9
2014-15,David Stockton,SAC,9
2014-15,Nikola Vucevic,ORL,9
2014-15,Martell Webster,WAS,9
2014-15,Arron Afflalo,DEN,10
2014-15,Tarik Black,HOU,10
2014-15,Chase Budinger,MIN,10
2014-15,Alec Burks,UTA,10
2014-15,Seth Curry,PHO,10
2014-15,DeMar DeRozan,TOR,10
2014-15,Zoran Dragic,PHO,10
2014-15,Evan Fournier,ORL,10
2014-15,Tim Frazier,POR,10
2014-15,Eric Gordon,NOP,10
2014-15,Spencer Hawes,LAC,10
2014-15,Sergey Karasev,BRK,10
2014-15,David Lee,GSW,10
2014-15,Greg Monroe,DET,10
2014-15,Nik Stauskas,SAC,10
2014-15,Chris Andersen,MIA,11
2014-15,Mike Conley,MEM,11
2014-15,Jamal Crawford,LAC,11
2014-15,Samuel Dalembert,NYK,11
2014-15,Monta Ellis,DAL,11
2014-15,Tyler Ennis,MIL,11
2014-15,Dante Exum,UTA,11
2014-15,Erick Green,DEN,11
2014-15,Jrue Holiday,NOP,11
2014-15,Wesley Johnson,LAL,11
2014-15,Brandon Knight,MIL,11
2014-15,Jeremy Lamb,OKC,11
2014-15,Ricky Ledo,NYK,11
2014-15,Malcolm Lee,PHI,11
2014-15,Meyers Leonard,POR,11
2014-15,Brook Lopez,BRK,11
2014-15,Devyn Marble,ORL,11
2014-15,Markieff Morris,PHO,11
2014-15,Jeff Ayres,SAS,11
2014-15,Malcolm Thomas,PHI,11
2014-15,Klay Thompson,GSW,11
2014-15,Evan Turner,BOS,11
2014-15,Noah Vonleh,CHO,11
2014-15,Steven Adams,OKC,12
2014-15,Jeff Adrien,MIN,12
2014-15,LaMarcus Aldridge,POR,12
2014-15,Vander Blue,LAL,12
2014-15,Andrew Bogut,GSW,12
2014-15,Nick Calathes,MEM,12
2014-15,Zoran Dragic,MIA,12
2014-15,Joe Harris,CLE,12
2014-15,Tobias Harris,ORL,12
2014-15,Kirk Hinrich,CHI,12
2014-15,Dwight Howard,HOU,12
2014-15,John Jenkins,ATL,12
2014-15,Luc Mbah a Moute,PHI,12
2014-15,Gary Neal,CHO,12
2014-15,Jabari Parker,MIL,12
2014-15,Dwight Powell,BOS,12
2014-15,A.J. Price,IND,12
2014-15,Tayshaun Prince,BOS,12
2014-15,T.J. Warren,PHO,12
2014-15,Brandan Wright,BOS,12
2014-15,Corey Brewer,MIN,13
2014-15,Luigi Datome,DET,13
2014-15,Paul George,IND,13
2014-15,Jorge Gutierrez,BRK,13
2014-15,James Harden,HOU,13
2014-15,Elijah Millsap,UTA,13
2014-15,Shabazz Napier,MIA,13
2014-15,Joakim Noah,CHI,13
2014-15,Miroslav Raduljica,MIN,13
2014-15,Luke Ridnour,ORL,13
2014-15,Kevin Seraphin,WAS,13
2014-15,Tyrus Thomas,MEM,13
2014-15,Tristan Thompson,CLE,13
2014-15,Ekpe Udoh,LAC,13
2014-15,Derrick Williams,SAC,13
2014-15,James Young,BOS,13
2014-15,D.J. Augustin,DET,14
2014-15,Chris Douglas-Roberts,LAC,14
2014-15,Danny Green,SAS,14
2014-15,Gerald Green,PHO,14
2014-15,Gary Harris,DEN,14
2014-15,Lester Hudson,LAC,14
2014-15,Michael Kidd-Gilchrist,CHO,14
2014-15,K.J. McDaniels,PHI,14
2014-15,Darius Morris,BRK,14
2014-15,Jameer Nelson,DAL,14
2014-15,Nikola Pekovic,MIN,14
2014-15,Glen Rice,WAS,14
2014-15,Jason Smith,NYK,14
2014-15,Matt Bonner,SAS,15
2014-15,Jabari Brown,LAL,15
2014-15,Clint Capela,HOU,15
2014-15,Vince Carter,MEM,15
2014-15,Mario Chalmers,MIA,15
2014-15,DeMarcus Cousins,SAC,15
2014-15,Derrick Favors,UTA,15
2014-15,Al Horford,ATL,15
2014-15,Reggie Jackson,OKC,15
2014-15,Amir Johnson,TOR,15
2014-15,Marcus Morris,PHO,15
2014-15,Shabazz Muhammad,MIN,15
2014-15,John Salmons,NOP,15
2014-15,Donald Sloan,IND,15
2014-15,Hedo Turkoglu,LAC,15
2014-15,Kemba Walker,CHO,15
2014-15,Aron Baynes,SAS,16
2014-15,Toney Douglas,NOP,16
2014-15,Pau Gasol,CHI,16
2014-15,Chris Johnson,PHI,16
2014-15,Steve Novak,UTA,16
2014-15,Kostas Papanikolaou,HOU,16
2014-15,Cleanthony Early,NYK,17
2014-15,Grant Jerrett,UTA,17
2014-15,Jeremy Lin,LAL,17
2014-15,Dennis Schroder,ATL,17
2014-15,Garrett Temple,WAS,17
2014-15,P.J. Tucker,PHO,17
2014-15,Jonas Valanciunas,TOR,17
2014-15,Anderson Varejao,CLE,17
2014-15,Omri Casspi,SAC,18
2014-15,Victor Claver,POR,18
2014-15,Mike Miller,CLE,18
2014-15,Furkan Aldemir,PHI,19
2014-15,Leandro Barbosa,GSW,19
2014-15,Jerryd Bayless,MIL,19
2014-15,Patrick Christopher,UTA,19
2014-15,Joel Freeland,POR,19
2014-15,P.J. Hairston,CHO,19
2014-15,Beno Udrih,MEM,19
2014-15,Dwight Buycks,LAL,20
2014-15,Ian Clark,DEN,20
2014-15,Brandon Davies,BRK,20
2014-15,Tim Frazier,PHI,20
2014-15,Manu Ginobili,SAS,20
2014-15,Archie Goodwin,PHO,20
2014-15,Devin Harris,DAL,20
2014-15,Gordon Hayward,UTA,20
2014-15,James Michael McAdoo,GSW,20
2014-15,Jodie Meeks,DET,20
2014-15,Quincy Miller,DET,20
2014-15,Donatas Motiejunas,HOU,20
2014-15,Timofey Mozgov,CLE,20
2014-15,Quincy Pondexter,NOP,20
2014-15,Tony Snell,CHI,20
2014-15,Lou Amundson,NYK,21
2014-15,Jimmy Butler,CHI,21
2014-15,Wilson Chandler,DEN,21
2014-15,Ian Clark,UTA,21
2014-15,Ed Davis,LAL,21
2014-15,Tim Duncan,SAS,21
2014-15,Kevin Garnett,MIN,21
2014-15,Maurice Harkless,ORL,21
2014-15,Cory Jefferson,BRK,21
2014-15,Alex Len,PHO,21
2014-15,Miles Plumlee,MIL,21
2014-15,A.J. Price,CLE,21
2014-15,Tayshaun Prince,MEM,21
2014-15,Andre Roberson,OKC,21
2014-15,Iman Shumpert,NYK,21
2014-15,Greivis Vasquez,TOR,21
2014-15,David West,IND,21
2014-15,Hassan Whiteside,MIA,21
2014-15,Matt Barnes,LAC,22
2014-15,Jerrelle Benimon,UTA,22
2014-15,Markel Brown,BRK,22
2014-15,Chris Copeland,IND,22
2014-15,Jamaal Franklin,DEN,22
2014-15,Taj Gibson,CHI,22
2014-15,Danny Granger,MIA,22
2014-15,Khris Middleton,MIL,22
2014-15,Andre Miller,SAC,22
2014-15,Miles Plumlee,PHO,22
2014-15,Otto Porter,WAS,22
2014-15,Tayshaun Prince,DET,22
2014-15,Brian Roberts,CHO,22
2014-15,Tiago Splitter,SAS,22
2014-15,Andrew Wiggins,MIN,22
2014-15,Allen Crabbe,POR,23
2014-15,Anthony Davis,NOP,23
2014-15,Austin Daye,SAS,23
2014-15,Draymond Green,GSW,23
2014-15,LeBron James,CLE,23
2014-15,Chris Johnson,MIL,23
2014-15,Kevin Martin,MIN,23
2014-15,Ben McLemore,SAC,23
2014-15,Toure' Murry,UTA,23
2014-15,Jusuf Nurkic,DEN,23
2014-15,Jason Richardson,PHI,23
2014-15,Marcus Thornton,PHO,23
2014-15,Dion Waiters,OKC,23
2014-15,Lou Williams,TOR,23
2014-15,Kent Bazemore,ATL,24
2014-15,Anthony Bennett,MIN,24
2014-15,Kobe Bryant,LAL,24
2014-15,Andre Dawkins,MIA,24
2014-15,Richard Jefferson,DAL,24
2014-15,Carl Landry,SAC,24
2014-15,Gal Mekel,NOP,24
2014-15,Andre Miller,WAS,24
2014-15,Reggie Bullock,LAC,25
2014-15,Al Jefferson,CHO,25
2014-15,Eric Moreland,SAC,25
2014-15,Timofey Mozgov,DEN,25
2014-15,Chandler Parsons,DAL,25
2014-15,Austin Rivers,LAC,25
2014-15,Thabo Sefolosha,ATL,25
2014-15,Kyle Singler,DET,25
2014-15,Elliot Williams,UTA,25
2014-15,Mo Williams,MIN,25
2014-15,Shannon Brown,MIA,26
2014-15,Kyle Korver,ATL,26
2014-15,Phil Pressey,BOS,26
2014-15,Rudy Gobert,UTA,27
2014-15,Jordan Hill,LAL,27
2014-15,Kalin Lucas,MEM,27
2014-15,Zaza Pachulia,MIL,27
2014-15,Tarik Black,LAL,28
2014-15,Ian Mahinmi,IND,28
2014-15,Jameer Nelson,BOS,28
2014-15,Earl Barron,PHO,30
2014-15,Brandon Bass,BOS,30
2014-15,Michael Beasley,MIA,30
2014-15,Norris Cole,MIA,30
2014-15,Stephen Curry,GSW,30
2014-15,Troy Daniels,CHO,30
2014-15,Reggie Evans,SAC,30
2014-15,Drew Gordon,PHI,30
2014-15,Jon Leuer,MEM,30
2014-15,Julius Randle,LAL,30
2014-15,C.J. Wilcox,LAC,30
2014-15,Thaddeus Young,BRK,30
2014-15,Caron Butler,DET,31
2014-15,Festus Ezeli,GSW,31
2014-15,John Henson,MIL,31
2014-15,Dahntay Jones,LAC,31
2014-15,Shawn Marion,CLE,31
2014-15,Mike Muscala,ATL,31
2014-15,Terrence Ross,TOR,31
2014-15,Sebastian Telfair,OKC,31
2014-15,Jason Terry,HOU,31
2014-15,Hollis Thompson,PHI,31
2014-15,David Wear,SAC,31
2014-15,Sim Bhullar,SAC,32
2014-15,James Ennis,MIA,32
2014-15,Jimmer Fredette,NOP,32
2014-15,Francisco Garcia,HOU,32
2014-15,Jeff Green,MEM,32
2014-15,Blake Griffin,LAC,32
2014-15,K.J. McDaniels,HOU,32
2014-15,Mike Scott,ATL,32
2014-15,Ronny Turiaf,MIN,32
2014-15,C.J. Watson,IND,32
2014-15,Brandan Wright,PHO,32
2014-15,Ryan Anderson,NOP,33
2014-15,Trevor Booker,UTA,33
2014-15,Corey Brewer,HOU,33
2014-15,Robert Covington,PHI,33
2014-15,Boris Diaw,SAS,33
2014-15,Marc Gasol,MEM,33
2014-15,Alonzo Gee,POR,33
2014-15,Brendan Haywood,CLE,33
2014-15,Jonas Jerebko,DET,33
2014-15,Mitch McGary,OKC,33
2014-15,Adreian Payne,ATL,33
2014-15,Mirza Teletovic,BRK,33
2014-15,Thaddeus Young,MIN,33
2014-15,Giannis Antetokounmpo,MIL,34
2014-15,Mike Dunleavy,CHI,34
2014-15,Willie Green,ORL,34
2014-15,Enes Kanter,OKC,34
2014-15,Shaun Livingston,GSW,34
2014-15,JaVale McGee,DEN,34
2014-15,Paul Pierce,WAS,34
2014-15,Greg Stiemsma,TOR,34
2014-15,Jason Thompson,SAC,34
2014-15,Brandan Wright,DAL,34
2014-15,Kevin Durant,OKC,35
2014-15,Kenneth Faried,DEN,35
2014-15,Chris Kaman,POR,35
2014-15,Cartier Martin,DET,35
2014-15,Henry Sims,PHI,35
2014-15,Marcus Smart,BOS,36
2014-15,Jerami Grant,PHI,39
2014-15,Harrison Barnes,GSW,40
2014-15,Jeremy Evans,UTA,40
2014-15,Udonis Haslem,MIA,40
2014-15,Anthony Tolliver,PHO,40
2014-15,Cody Zeller,CHO,40
2014-15,Cameron Bairstow,CHI,41
2014-15,JaMychal Green,SAS,41
2014-15,Justin Hamilton,MIN,41
2014-15,Kosta Koufos,MEM,41
2014-15,Dirk Nowitzki,DAL,41
2014-15,Kelly Olynyk,BOS,41
2014-15,Thomas Robinson,PHI,41
2014-15,Alexis Ajinca,NOP,42
2014-15,Nene Hilario,WAS,42
2014-15,Robin Lopez,POR,42
2014-15,Shavlik Randolph,BOS,42
2014-15,Lance Thomas,NYK,42
2014-15,Shayne Whittington,IND,42
2014-15,Kris Humphries,WAS,43
2014-15,Shavlik Randolph,PHO,43
2014-15,Anthony Tolliver,DET,43
2014-15,Shawne Williams,MIA,43
2014-15,Bojan Bogdanovic,BRK,44
2014-15,Chuck Hayes,TOR,44
2014-15,Solomon Hill,IND,44
2014-15,Nikola Mirotic,CHI,44
2014-15,Andrew Nicholson,ORL,44
2014-15,Jeffery Taylor,CHO,44
2014-15,Tyler Zeller,BOS,44
2014-15,Cole Aldrich,NYK,45
2014-15,DeJuan Blair,WAS,45
2014-15,Jack Cooley,UTA,45
2014-15,Gerald Wallace,BOS,45
2014-15,Andrei Kirilenko,BRK,47
2014-15,Nazr Mohammed,CHI,48
2014-15,Joel Anthony,DET,50
2014-15,Tyler Hansbrough,TOR,50
2014-15,Arinze Onuaku,MIN,50
2014-15,Zach Randolph,MEM,50
2014-15,Robert Sacre,LAL,50
2014-15,Alex Kirk,CLE,53
2014-15,Jason Maxiell,CHO,54
2014-15,Patrick Patterson,TOR,54
2014-15,Earl Clark,BRK,55
2014-15,Roy Hibbert,IND,55
2014-15,Bernard James,DAL,55
2014-15,E'Twaun Moore,CHI,55
2014-15,Reggie Williams,SAS,55
2014-15,Luigi Datome,BOS,70
2014-15,Andrea Bargnani,NYK,77
2014-15,Joffrey Lauvergne,DEN,77
2014-15,Nicolas Batum,POR,88
2014-15,Alexey Shved,HOU,88
2014-15,Lou Amundson,CLE,89
2014-15,Drew Gooden,WAS,90
2014-15,Lucas Nogueira,TOR,92
2014-15,Jae Crowder,BOS,99
2015-16,Darrell Arthur,DEN,00
