Year,Player,Team,Number
1947-48,John Abramovic,BLB,31
1947-48,Carl Meinhold,BLB,31
1947-48,Paul Hoffman,BLB,32
1947-48,Chet McNabb,BLB,33
1947-48,Connie Simmons,BLB,33
1947-48,Grady Lewis,BLB,35
1947-48,Irv Rothenberg,BLB,35
1948-49,Dillard Crocker,FTW,UNK
1948-49,Jack Eskridge,CHS,UNK
1948-49,Johnny Ezersky,PRO,UNK
1948-49,Doug Holcomb,BLB,UNK
1948-49,Jack Maddox,INJ,UNK
1948-49,Don Martin,BLB,UNK
1948-49,Paul Napolitano,INJ,UNK
1948-49,Buddy O'Grady,PRO,UNK
1948-49,Fred Paine,PRO,UNK
1948-49,Roy Pugh,FTW,UNK
1948-49,Earl Shannon,BOS,UNK
1948-49,Jim Springer,INJ,UNK
1948-49,Jim Spruill,INJ,UNK
1948-49,Ernie Calverley,PRO,3
1948-49,John Hazen,BOS,3
1948-49,George Nostrand,BOS,3
1948-49,Bob O'Brien,STB,3
1948-49,Chick Reiser,BLB,3
1948-49,Bill Roberts,STB,3
1948-49,Irv Rothenberg,NYK,3
1948-49,D.C. Wilcutt,STB,3
1948-49,Carl Braun,NYK,4
1948-49,Darrell Brown,BLB,4
1948-49,Chink Crossin,PHW,4
1948-49,Whitey Kachan,CHS,4
1948-49,Red Rocha,STB,4
1948-49,Kenny Sailors,PRO,4
1948-49,Hal Tidrick,BLB,4
1948-49,Lonnie Eggleston,STB,5
1948-49,Freddie Lewis,BLB,5
1948-49,Angelo Musi,PHW,5
1948-49,Paul Noel,NYK,5
1948-49,Mel Riebe,PRO,5
1948-49,Bill Roberts,BOS,5
1948-49,Earl Shannon,PRO,5
1948-49,Stan Stutz,BLB,5
1948-49,Hank Beenders,BOS,6
1948-49,Jerry Fleishman,PHW,6
1948-49,Chick Halbert,PRO,6
1948-49,Buddy Jeannette,BLB,6
1948-49,Tom Kelly,BOS,6
1948-49,Carl Meinhold,CHS,6
1948-49,Bill Miller,CHS,6
1948-49,George Nostrand,PRO,6
1948-49,Easy Parham,STB,6
1948-49,Jerry Rullo,PHW,6
1948-49,Sid Tanenbaum,NYK,6
1948-49,John Logan,STB,7
1948-49,Ray Lumpp,NYK,7
1948-49,John Mahnken,BLB,7
1948-49,Stan Miasek,CHS,7
1948-49,Bob O'Brien,PHW,7
1948-49,Dermie O'Connell,BOS,7
1948-49,Mel Riebe,BOS,7
1948-49,Otto Schnellbacher,PRO,7
1948-49,Dick Shrider,NYK,7
1948-49,Stan Stutz,BLB,7
1948-49,Andy Tonkovich,PRO,7
1948-49,Johnny Ezersky,BLB,8
1948-49,Phil Farbman,BOS,8
1948-49,Mel McGaha,NYK,8
1948-49,Les Pugh,PRO,8
1948-49,Don Putman,STB,8
1948-49,Howie Rader,BLB,8
1948-49,George Senesky,PHW,8
1948-49,Bobby Wanzer,ROC,09
1948-49,Jerry Fleishman,PHW,9
1948-49,George Kaftan,BOS,9
1948-49,Herb Krautblatt,BLB,9
1948-49,Buddy O'Grady,STB,9
1948-49,Mel Riebe,BOS,9
1948-49,Otto Schnellbacher,STB,9
1948-49,Howie Shannon,PRO,9
1948-49,Sid Tanenbaum,BLB,9
1948-49,Irv Torgoff,BLB,9
1948-49,Andy Duncan,ROC,10
1948-49,Johnny Ezersky,BOS,10
1948-49,Bob Feerick,WSC,10
1948-49,Bob Fitzgerald,ROC,10
1948-49,Joe Fulks,PHW,10
1948-49,John Hazen,BOS,10
1948-49,Bob Hubbard,PRO,10
1948-49,Stan Noszka,BOS,10
1948-49,Jake Pelkington,BLB,10
1948-49,Tex Ritter,NYK,10
1948-49,Belus Smawley,STB,10
1948-49,Max Zaslofsky,CHS,10
1948-49,Gale Bishop,PHW,11
1948-49,Mike Bloom,CHS,11
1948-49,Bob Brown,PRO,11
1948-49,Bob Davies,ROC,11
1948-49,Harry Gallatin,NYK,11
1948-49,Chick Halbert,BOS,11
1948-49,Kleggie Hermsen,WSC,11
1948-49,Ariel Maughan,STB,11
1948-49,Carl Meinhold,PRO,11
1948-49,Bill Roberts,CHS,11
1948-49,Connie Simmons,BLB,11
1948-49,Walt Budko,BLB,12
1948-49,Howie Dallmar,PHW,12
1948-49,Bob Fitzgerald,ROC,12
1948-49,Coulby Gunther,STB,12
1948-49,Ray Kuka,NYK,12
1948-49,Lionel Malamed,ROC,12
1948-49,Lee Robbins,PRO,12
1948-49,Giff Roux,PRO,12
1948-49,Don Smith,MNL,12
1948-49,Art Spector,BOS,12
1948-49,Gene Vance,CHS,12
1948-49,Mike Bloom,CHS,13
1948-49,Tony Jaros,MNL,13
1948-49,Andrew Levane,ROC,13
1948-49,Grady Lewis,STB,13
1948-49,Bill Miller,STB,13
1948-49,Dick O'Keefe,WSC,13
1948-49,Gene Stump,BOS,13
1948-49,Tommy Byrnes,NYK,14
1948-49,Bulbs Ehlers,BOS,14
1948-49,Earl Gardner,MNL,14
1948-49,Gene James,NYK,14
1948-49,Don Martin,STB,14
1948-49,Leo Mogus,BLB,14
1948-49,Ray Ramsey,BLB,14
1948-49,Arnie Risen,ROC,14
1948-49,Ed Sadowski,PHW,14
1948-49,Jake Bornheimer,PHW,15
1948-49,Don Carlson,MNL,15
1948-49,Fran Curran,ROC,15
1948-49,Phil Farbman,PHW,15
1948-49,Joe Graboski,CHS,15
1948-49,Dan Kraus,BLB,15
1948-49,Jack Nichols,WSC,15
1948-49,Ben Scharnus,PRO,15
1948-49,Jim Seminoff,BOS,15
1948-49,Jack Toomay,BLB,15
1948-49,Red Holzman,ROC,16
1948-49,Johnny Jorgensen,MNL,16
1948-49,Johnny Norlander,WSC,16
1948-49,Bud Palmer,NYK,16
1948-49,Roy Pugh,PHW,16
1948-49,Kenny Rollins,CHS,16
1948-49,Irv Torgoff,PHW,16
1948-49,Brady Walker,PRO,16
1948-49,Johnny Bach,BOS,17
1948-49,Chuck Gilmur,CHS,17
1948-49,Arnie Johnson,ROC,17
1948-49,Bones McKinney,WSC,17
1948-49,Elmore Morgenthaler,PHW,17
1948-49,Jim Pollard,MNL,17
1948-49,Butch Van Breda Kolff,NYK,17
1948-49,Jim Browne,CHS,18
1948-49,Joe Colone,NYK,18
1948-49,Ray Ellefson,MNL,18
1948-49,Arnie Ferrin,MNL,18
1948-49,Ed Mikan,CHS,18
1948-49,Mike Novak,ROC,18
1948-49,Matt Zunic,WSC,18
1948-49,Bill Calhoun,ROC,19
1948-49,Bob Doll,BOS,19
1948-49,Jack Dwan,MNL,19
1948-49,Lee Knorek,NYK,19
1948-49,Andy Phillip,CHS,19
1948-49,Jack Tingle,MNL,19
1948-49,Whitey Kachan,MNL,20
1948-49,Freddie Lewis,INJ,20
1948-49,Al Lucas,BOS,20
1948-49,Lionel Malamed,INJ,20
1948-49,Fred Scolari,WSC,20
1948-49,Earl Shannon,BOS,20
1948-49,Odie Spears,CHS,20
1948-49,Hal Tidrick,INJ,20
1948-49,Bob Tough,FTW,20
1948-49,Jack Garfinkel,BOS,21
1948-49,Tommy Byrnes,INJ,22
1948-49,Donnie Forman,MNL,22
1948-49,Bruce Hale,INJ,22
1948-49,Bob Kinney,BOS,22
1948-49,Dick Schulz,WSC,22
1948-49,Leo Katkaveck,WSC,23
1948-49,Richie Niemiera,FTW,23
1948-49,John Mahnken,FTW,24
1948-49,Herm Schaefer,MNL,24
1948-49,Blackie Towery,FTW,24
1948-49,Ward Williams,FTW,25
1948-49,Leo Klier,FTW,26
1948-49,Dick Triptow,FTW,28
1948-49,Charlie Black,FTW,29
1948-49,Sonny Hertzberg,WSC,29
1948-49,Leo Mogus,FTW,29
1948-49,Jack Eskridge,INJ,30
1948-49,Bill Henry,FTW,30
1948-49,Jake Pelkington,FTW,30
1948-49,Curly Armstrong,FTW,31
1948-49,Bob Kinney,FTW,32
1948-49,Fritz Nagy,INJ,33
1948-49,Bruce Hale,FTW,35
1948-49,Walt Kirk,FTW,35
1948-49,Ralph Hamilton,FTW,36
1948-49,Jack Smiley,FTW,37
1948-49,Ray Lumpp,INJ,40
1948-49,Charlie Black,INJ,44
1948-49,Leo Mogus,INJ,44
1948-49,John Mandic,INJ,50
1948-49,Ralph Hamilton,INJ,55
1948-49,Marty Passaglia,INJ,55
1948-49,Walt Kirk,INJ,60
1948-49,Dick Wehr,INJ,60
1948-49,Price Brookfield,INJ,66
1948-49,Jack Eskridge,INJ,70
1948-49,Andy Kostecka,INJ,70
1948-49,John Mahnken,INJ,77
1948-49,Blackie Towery,INJ,77
1948-49,George Glamack,INJ,99
1948-49,George Mikan,MNL,99
1949-50,Leo Barnhorst,CHS,UNK
1949-50,Gene Berce,TRI,UNK
1949-50,Jake Carter,AND,UNK
1949-50,Paul Cloyd,BLB,UNK
1949-50,George Feigenbaum,BLB,UNK
1949-50,Bill Herman,DNN,UNK
1949-50,Howie Janotta,BLB,UNK
1949-50,Milo Komenich,AND,UNK
1949-50,Ken Menke,WAT,UNK
1949-50,Murray Mitchell,AND,UNK
1949-50,Johnny Norlander,WSC,UNK
1949-50,Red Owens,TRI,UNK
1949-50,Dick Schulz,TRI,UNK
1949-50,Carl Shaeffer,INO,UNK
1949-50,Pep Saul,ROC,03
1949-50,Curly Armstrong,FTW,3
1949-50,Bobby Cook,SHE,3
1949-50,Frank Gates,AND,3
1949-50,George Nostrand,BOS,3
1949-50,Gene Ollrich,WAT,3
1949-50,Bill Roberts,STB,3
1949-50,Bob Tough,WAT,3
1949-50,Carl Braun,NYK,4
1949-50,John Chaney,SHE,4
1949-50,Ray Corley,SYR,4
1949-50,Chink Crossin,PHW,4
1949-50,Joe Dolhon,BLB,4
1949-50,Sonny Hertzberg,BOS,4
1949-50,Ralph Johnson,AND,4
1949-50,Walt Kirk,TRI,4
1949-50,Leo Kubiak,WAT,4
1949-50,Tony Lavelli,BOS,4
1949-50,Richie Niemiera,AND,4
1949-50,John Oldham,FTW,4
1949-50,Red Rocha,STB,4
1949-50,Marv Schatzman,BLB,4
1949-50,Dolph Schayes,SYR,4
1949-50,Dick Schulz,SHE,4
1949-50,Whitey Von Nieda,BLB,4
1949-50,Bob Wood,SHE,4
1949-50,Nelson Bobb,PHW,5
1949-50,Jack Burmaster,SHE,5
1949-50,Joe Dolhon,BLB,5
1949-50,Ralph Johnson,FTW,5
1949-50,Ed Leede,BOS,5
1949-50,Johnny Macknowski,SYR,5
1949-50,Richie Niemiera,FTW,5
1949-50,Paul Noel,NYK,5
1949-50,Jack Parkinson,INO,5
1949-50,Johnny Payak,WAT,5
1949-50,Rollie Seltz,AND,5
1949-50,Charley Shipp,WAT,5
1949-50,Dick Triptow,BLB,5
1949-50,Danny Wagner,SHE,5
1949-50,Paul Walther,INO,5
1949-50,D.C. Wilcutt,STB,5
1949-50,Johnny Ezersky,BLB,6
1949-50,Paul Gordon,BLB,6
1949-50,John Hargis,AND,6
1949-50,Buddy Jeannette,BLB,6
1949-50,Duane Klueh,FTW,6
1949-50,Ron Livingstone,PHW,6
1949-50,Easy Parham,STB,6
1949-50,George Ratkovicz,SYR,6
1949-50,Wayne See,WAT,6
1949-50,Connie Simmons,NYK,6
1949-50,Chips Sobek,SHE,6
1949-50,Whitey Von Nieda,TRI,6
1949-50,Charlie Black,AND,7
1949-50,Bob Brannum,SHE,7
1949-50,Bill Gabor,SYR,7
1949-50,Bruce Hale,INO,7
1949-50,Leo Klier,FTW,7
1949-50,Frank Kudelka,CHS,7
1949-50,John Logan,STB,7
1949-50,Ray Lumpp,NYK,7
1949-50,Dick Mehen,WAT,7
1949-50,Dermie O'Connell,BOS,7
1949-50,Charlie Parsley,PHW,7
1949-50,Warren Perkins,TRI,7
1949-50,Jerry Rullo,PHW,7
1949-50,Howie Schultz,AND,7
1949-50,Bob Tough,BLB,7
1949-50,Frankie Brian,AND,8
1949-50,Don Grate,SHE,8
1949-50,Billy Hassett,TRI,8
1949-50,Matt Mazza,SHE,8
1949-50,Stan Patrick,SHE,8
1949-50,Don Putman,STB,8
1949-50,Marv Schatzman,BLB,8
1949-50,Fred Schaus,FTW,8
1949-50,George Senesky,PHW,8
1949-50,Paul Seymour,SYR,8
1949-50,Howie Shannon,BOS,8
1949-50,Gene Stump,WAT,8
1949-50,Gene Vance,TRI,8
1949-50,Bobby Wanzer,ROC,09
1949-50,Leroy Chollet,SYR,9
1949-50,Ray Corley,SYR,9
1949-50,Bob Evans,INO,9
1949-50,Jerry Fleishman,PHW,9
1949-50,Robert Hahn,CHS,9
1949-50,George Kaftan,BOS,9
1949-50,Walt Kirk,AND,9
1949-50,Walt Lautenbach,SHE,9
1949-50,Jerry Nagel,FTW,9
1949-50,George Nostrand,TRI,9
1949-50,Dermie O'Connell,STB,9
1949-50,Johnny Orr,WAT,9
1949-50,Red Owens,AND,9
1949-50,Jack Phelan,WAT,9
1949-50,Ed Sadowski,BLB,9
1949-50,Gene Stump,WAT,9
1949-50,Mike Todorovich,STB,9
1949-50,Ernie Vandeweghe,NYK,9
1949-50,Cliff Barker,INO,10
1949-50,Jack Burmaster,SHE,10
1949-50,Bob Carpenter,FTW,10
1949-50,Jack Coleman,ROC,10
1949-50,Gene Englund,BOS,10
1949-50,Bob Feerick,WSC,10
1949-50,Joe Fulks,PHW,10
1949-50,Hoot Gibson,BOS,10
1949-50,Alex Hannum,SYR,10
1949-50,Al Miksis,WAT,10
1949-50,Tex Ritter,NYK,10
1949-50,Herm Schaefer,MNL,10
1949-50,Belus Smawley,STB,10
1949-50,Jack Smiley,WAT,10
1949-50,Ed Stanczak,AND,10
1949-50,Blackie Towery,BLB,10
1949-50,Max Zaslofsky,CHS,10
1949-50,Leroy Chollet,SYR,11
1949-50,Bill Closs,AND,11
1949-50,Bob Davies,ROC,11
1949-50,Dike Eddleman,TRI,11
1949-50,Harry Gallatin,NYK,11
1949-50,Chuck Gilmur,WSC,11
1949-50,Al Guokas,PHW,11
1949-50,Billy Hassett,MNL,11
1949-50,Paul Hoffman,BLB,11
1949-50,Tony Lavelli,BOS,11
1949-50,Freddie Lewis,PHW,11
1949-50,Ariel Maughan,STB,11
1949-50,Max Morris,SHE,11
1949-50,Johnny Payak,PHW,11
1949-50,John Pritchard,WAT,11
1949-50,Ralph Beard,INO,12
