Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
68,Corey Brewer\breweco01,SF,30,Los Angeles Lakers,19,258,14.0,.501,.207,.217,3.7,14.5,8.9,12.4,2.5,2.5,9.8,18.5,,0.1,0.2,0.3,.056,,-2.3,0.0,-2.2,0.0
69,Malcolm Brogdon\brogdma01,SG,24,Milwaukee Bucks,73,1934,14.9,.557,.304,.204,2.7,9.5,6.2,24.3,2.2,0.5,14.0,18.5,,2.6,1.4,4.1,.101,,0.8,-1.3,-0.5,0.7
70,Aaron Brooks\brookaa01,PG,32,Indiana Pacers,60,817,9.6,.496,.422,.132,2.5,6.3,4.4,21.3,1.5,1.0,17.0,20.1,,-0.4,0.5,0.1,.006,,-2.3,-2.5,-4.8,-0.6
71,Anthony Brown\brownan02,SF,24,TOT,11,159,7.2,.430,.540,.000,5.3,16.8,11.0,7.7,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,.005,,-3.8,-0.1,-3.9,-0.1
72,Anthony Brown\brownan02,SF,24,New Orleans Pelicans,9,143,5.9,.415,.585,.000,4.4,14.7,9.6,6.0,1.7,0.6,10.9,14.3,,-0.2,0.2,0.0,-0.004,,-4.3,0.1,-4.3,-0.1
73,Anthony Brown\brownan02,SF,24,Orlando Magic,2,16,18.6,.500,.333,.000,13.2,35.1,23.8,23.0,0.0,0.0,10.0,27.5,,0.0,0.0,0.0,.080,,1.0,-1.7,-0.7,0.0
74,Bobby Brown\brownbo02,PG,32,Houston Rockets,22,65,4.4,.431,.556,.000,0.0,8.5,4.2,7.1,0.0,0.0,7.7,25.4,,-0.1,0.0,-0.1,-0.087,,-6.0,-6.5,-12.5,-0.2
75,Jaylen Brown\brownja02,SF,20,Boston Celtics,73,1248,10.6,.546,.314,.311,3.8,14.8,9.4,7.1,1.3,1.1,12.1,17.9,,0.4,1.2,1.6,.062,,-2.9,-0.9,-3.7,-0.5
76,Nicolas Brussino\brussni01,SF,23,Dallas Mavericks,48,359,10.2,.477,.663,.135,5.9,16.8,11.1,12.6,1.7,1.8,12.9,14.3,,0.0,0.4,0.5,.062,,-2.2,1.1,-1.1,0.1
77,Reggie Bullock\bullore01,SF,25,Detroit Pistons,26,348,8.0,.443,.532,.074,2.7,13.0,7.7,7.5,1.7,0.7,8.5,13.5,,-0.1,0.4,0.3,.035,,-3.2,0.5,-2.7,-0.1
78,Trey Burke\burketr01,PG,24,Washington Wizards,55,665,9.9,.510,.261,.112,1.2,6.4,3.8,20.6,0.7,0.6,14.8,19.4,,0.1,0.2,0.3,.023,,-2.9,-3.4,-6.3,-0.7
79,Alec Burks\burksal01,SG,25,Utah Jazz,38,597,12.1,.508,.315,.323,3.2,16.2,9.9,7.4,1.6,0.5,10.8,23.2,,0.0,0.8,0.8,.065,,-2.9,-1.0,-3.9,-0.3
80,Jimmy Butler\butleji01,SF,27,Chicago Bulls,71,2629,25.2,.585,.201,.545,5.0,13.2,9.1,25.0,2.6,0.8,9.0,26.5,,9.6,3.1,12.7,.232,,6.0,0.9,6.8,5.9
81,Bruno Caboclo\cabocbr01,SF,21,Toronto Raptors,8,23,7.9,.300,.600,.000,14.7,14.7,14.7,17.0,4.4,0.0,28.6,13.6,,0.0,0.0,0.0,.010,,-2.2,2.7,0.5,0.0
82,Jose Calderon\caldejo01,PG,35,TOT,36,450,7.9,.481,.477,.110,3.1,12.1,7.5,21.6,1.2,0.2,23.4,14.3,,-0.2,0.2,0.0,.001,,-3.5,-1.7,-5.2,-0.4
83,Jose Calderon\caldejo01,PG,35,Los Angeles Lakers,24,292,9.1,.508,.442,.052,2.9,12.8,7.7,24.7,1.2,0.3,24.8,15.3,,-0.1,0.0,0.0,-0.004,,-3.0,-2.3,-5.4,-0.2
84,Jose Calderon\caldejo01,PG,35,Atlanta Hawks,12,158,5.8,.422,.563,.250,3.5,11.0,7.3,15.8,1.2,0.0,20.2,12.3,,-0.1,0.2,0.0,.011,,-4.5,-0.6,-5.1,-0.1
85,Kentavious Caldwell-Pope\caldwke01,SG,23,Detroit Pistons,72,2431,13.2,.524,.465,.201,2.3,8.5,5.3,11.5,1.8,0.4,7.7,19.2,,2.2,2.4,4.7,.092,,1.1,0.0,1.1,1.9
